word,frequency_rank,wcount,log_w,w_cd
的,1,1682530,6.226,6243
我,2,1682285,6.2259,6242
你,3,1329424,6.1237,6242
是,4,947807,5.9767,6243
了,5,946365,5.9761,6243
不,6,689161,5.8383,6242
在,7,429766,5.6332,6242
他,8,397653,5.5995,6237
我们,9,371696,5.5702,6241
好,10,334698,5.5247,6241
有,11,289109,5.4611,6242
这,12,286987,5.4579,6241
就,13,276636,5.4419,6243
会,14,265929,5.4248,6242
吗,15,249187,5.3965,6107
要,16,238656,5.3778,6242
什么,17,236517,5.3739,6224
说,18,226955,5.3559,6242
她,19,221420,5.3452,6134
想,20,212185,5.3267,6240
一,21,203626,5.3088,6240
很,22,200584,5.3023,6239
知道,23,196745,5.2939,6238
人,24,194914,5.2898,6239
吧,25,194084,5.288,6238
那,26,190087,5.279,6238
来,27,185154,5.2675,6239
都,28,177619,5.2495,6237
个,29,173905,5.2403,6239
能,30,166656,5.2218,6239
去,31,163054,5.2123,6239
没,32,159508,5.2028,6239
和,33,150418,5.1773,6214
他们,34,140460,5.1476,6199
到,35,139534,5.1447,6238
对,36,132805,5.1232,6229
也,37,131801,5.1199,6236
啊,38,130963,5.1171,6126
还,39,130326,5.115,6235
把,40,124534,5.0953,6234
让,41,123809,5.0928,6230
做,42,122364,5.0877,6226
给,43,117218,5.069,6235
一个,44,116726,5.0672,6228
上,45,114371,5.0583,6238
你们,46,112946,5.0529,6171
过,47,112388,5.0507,6236
没有,48,108237,5.0344,6218
得,49,105189,5.022,6215
看,50,102546,5.0109,6235
真,51,102445,5.0105,6224
着,52,100091,5.0004,6222
事,53,97715,4.99,6198
这个,54,92058,4.9641,6229
怎么,55,89166,4.9502,6210
现在,56,88120,4.9451,6227
可以,57,79198,4.8987,6206
点,58,77665,4.8902,6194
呢,59,76752,4.8851,6196
如果,60,76417,4.8832,6157
只,61,72698,4.8615,6223
别,62,69865,4.8443,6143
哦,63,69380,4.8412,5428
但,64,68241,4.834,5812
被,65,65695,4.8175,6150
走,66,65258,4.8146,6158
太,67,65151,4.8139,6180
这样,68,64295,4.8082,6194
里,69,63276,4.8012,6179
跟,70,62979,4.7992,5801
告诉,71,61222,4.7869,6141
因为,72,59823,4.7769,6148
自己,73,57978,4.7633,6155
再,74,56520,4.7522,6197
听,75,54888,4.7395,6145
这里,76,53900,4.7316,5879
快,77,53510,4.7284,5924
谁,78,52782,4.7225,6152
但是,79,52718,4.722,5615
多,80,52605,4.721,6189
用,81,52436,4.7196,6173
时候,82,52176,4.7175,6130
下,83,51975,4.7158,6171
已经,84,51772,4.7141,6123
谢谢,85,51457,4.7114,6006
为什么,86,51063,4.7081,6072
觉得,87,51047,4.708,5956
天,88,50660,4.7047,6117
像,89,50229,4.701,6057
这么,90,49082,4.6909,6104
它,91,49024,4.6904,5777
从,92,47313,4.675,6129
先生,93,46864,4.6708,5211
找,94,46647,4.6688,6006
最,95,46464,4.6671,6129
喜欢,96,46146,4.6641,5856
可,97,46123,4.6639,5922
为,98,45565,4.6586,6091
大,99,45061,4.6538,6109
可能,100,44424,4.6476,6005
需要,101,44362,4.647,5982
是的,102,44210,4.6455,5568
死,103,44056,4.644,5748
次,104,43873,4.6422,6105
出,105,42784,4.6313,6120
那么,106,41794,4.6211,5917
干,107,41651,4.6196,5949
那个,108,41417,4.6172,6022
嘿,109,41175,4.6146,4817
们,110,39958,4.6016,5590
话,111,39900,4.601,6048
而,112,39381,4.5953,5899
么,113,39120,4.5924,3260
东西,114,38127,4.5812,5958
应该,115,37811,4.5776,5960
孩子,116,37243,4.571,5216
起来,117,37205,4.5706,5973
所以,118,37014,4.5684,5910
这些,119,36735,4.5651,5954
才,120,36716,4.5649,6073
两,121,36580,4.5632,5953
错,122,36166,4.5583,5950
还有,123,35932,4.5555,6078
又,124,35561,4.551,6000
小,125,34967,4.5437,5838
中,126,34862,4.5424,5837
叫,127,34648,4.5397,5853
嗯,128,34639,4.5396,4451
该,129,34169,4.5336,5878
等,130,34016,4.5317,5928
问题,131,33364,4.5233,5848
一起,132,32889,4.5171,5873
拿,133,32361,4.51,5858
更,134,32253,4.5086,5936
开始,135,32126,4.5069,5934
帮,136,31793,4.5023,5730
打,137,31223,4.4945,5626
爱,138,31122,4.4931,5314
带,139,31069,4.4923,5852
时间,140,30703,4.4872,5902
年,141,30648,4.4864,5578
请,142,30598,4.4857,5588
回,143,30259,4.4809,5948
工作,144,30191,4.4799,5295
然后,145,29752,4.4735,5749
当,146,29619,4.4716,5787
见,147,29340,4.4675,5856
钱,148,29221,4.4657,4602
噢,149,29190,4.4652,3548
一样,150,28861,4.4603,5906
事情,151,28176,4.4499,5367
就是,152,28137,4.4493,5877
吃,153,27913,4.4458,5155
所有,154,27749,4.4432,5681
开,155,27382,4.4375,5709
一下,156,27171,4.4341,5714
家,157,27026,4.4318,5613
非常,158,26976,4.431,5138
看到,159,26783,4.4279,5628
希望,160,26658,4.4258,5741
那些,161,26450,4.4224,5594
哪,162,26385,4.4214,5326
当然,163,26313,4.4202,5734
也许,164,26083,4.4164,5032
行,165,26032,4.4155,5602
朋友,166,26017,4.4153,5439
妈妈,167,25730,4.4104,4246
相信,168,25699,4.4099,5665
前,169,25613,4.4085,5722
嗨,170,25335,4.4037,4281
认为,171,25294,4.403,5162
将,172,24946,4.397,4900
这儿,173,24824,4.3949,4386
今天,174,24750,4.3936,5484
明白,175,24744,4.3935,5475
一直,176,24551,4.3901,5731
看看,177,24319,4.3859,5695
车,178,23974,4.3797,4469
时,179,23472,4.3706,5304
杀,180,23405,4.3693,4221
地方,181,23358,4.3684,5538
不过,182,23333,4.368,4705
呃,183,22734,4.3567,3346
发生,184,22602,4.3541,5395
几,185,22431,4.3508,5590
回来,186,22423,4.3507,5483
准备,187,22202,4.3464,5365
找到,188,22128,4.3449,5139
后,189,22018,4.3428,5508
爸爸,190,21930,4.341,3747
一切,191,21709,4.3366,5326
抱歉,192,21563,4.3337,5096
比,193,21371,4.3298,5555
感觉,194,21315,4.3287,5104
些,195,21286,4.3281,5399
只是,196,21213,4.3266,5389
怎么样,197,20986,4.3219,5278
出来,198,20938,4.3209,5532
不要,199,20679,4.3155,4984
对不起,200,20548,4.3128,4797
问,201,20455,4.3108,5286
离开,202,20359,4.3088,5216
一点,203,20342,4.3084,5326
一定,204,20273,4.3069,5274
起,205,20231,4.306,5545
还是,206,19998,4.301,5607
发现,207,19774,4.2961,5060
所,208,19715,4.2948,5175
住,209,19602,4.2923,5175
件,210,19568,4.2915,5259
正,211,19536,4.2908,5406
而且,212,19404,4.2879,5071
并,213,19394,4.2877,5049
必须,214,19320,4.286,4958
意思,215,19239,4.2842,5301
放,216,19099,4.281,5341
不错,217,18930,4.2772,4976
肯定,218,18531,4.2679,5139
电话,219,18374,4.2642,4444
为了,220,18274,4.2618,5293
搞,221,18263,4.2616,4997
棒,222,18253,4.2613,4325
第一,223,18192,4.2599,5202
妈,224,18110,4.2579,3660
地,225,18009,4.2555,4878
进,226,17634,4.2464,5243
那样,227,17495,4.2429,5035
大家,228,17458,4.242,4580
新,229,17291,4.2378,5059
您,230,17279,4.2375,3172
向,231,17219,4.236,5057
一些,232,17133,4.2338,4907
三,233,16916,4.2283,4765
那里,234,16783,4.2249,4636
以为,235,16582,4.2196,5192
高兴,236,16480,4.217,4897
嘛,237,16472,4.2167,4286
老,238,16451,4.2162,4530
位,239,16368,4.214,4463
过来,240,16223,4.2101,4951
掉,241,16141,4.2079,4971
先,242,16060,4.2057,5186
等等,243,15921,4.202,4700
生活,244,15918,4.2019,4749
之,245,15804,4.1988,4715
买,246,15766,4.1977,4369
种,247,15716,4.1963,4935
医生,248,15679,4.1953,3079
最后,249,15200,4.1818,4902
之前,250,15187,4.1815,5114
伙计,251,15063,4.1779,3387
手,252,15010,4.1764,4720
任何,253,14918,4.1737,4837
很多,254,14874,4.1724,4980
哪儿,255,14873,4.1724,3735
这种,256,14615,4.1648,4907
上帝,257,14605,4.1645,3685
女人,258,14388,4.158,4137
名字,259,14335,4.1564,4581
认识,260,14304,4.1555,4544
坐,261,14204,4.1524,4706
今晚,262,14178,4.1516,3850
其他,263,14163,4.1512,4666
喝,264,14004,4.1463,4206
记得,265,13898,4.143,4713
家伙,266,13846,4.1413,4064
与,267,13700,4.1367,4274
或者,268,13597,4.1334,4625
写,269,13589,4.1332,3955
穿,270,13586,4.1331,4351
弄,271,13574,4.1327,4604
过去,272,13485,4.1299,4787
哪里,273,13471,4.1294,3959
啦,274,13369,4.1261,3233
却,275,13346,4.1254,4587
算,276,13337,4.1251,4769
担心,277,13238,4.1218,4815
继续,278,13221,4.1213,4645
送,279,13212,4.121,4622
女孩,280,13197,4.1205,3606
以,281,13083,4.1167,4819
玩,282,13033,4.115,4171
亲爱,283,12783,4.1066,3644
下来,284,12748,4.1054,4708
成,285,12539,4.0983,4797
